"","date","pneg","type"
"208",7,0,"Plasma Donors"
"209",14,0,"Plasma Donors"
"210",21,0,"Plasma Donors"
"211",28,0.0164319248826291,"Plasma Donors"
"212",35,0,"Plasma Donors"
"213",42,0,"Plasma Donors"
"214",49,0,"Plasma Donors"
"215",56,0,"Plasma Donors"
"216",63,0,"Plasma Donors"
"217",70,0.00938967136150237,"Plasma Donors"
"218",77,0.00704225352112675,"Plasma Donors"
"219",84,0,"Plasma Donors"
"220",91,0.00938967136150226,"Plasma Donors"
"221",98,0.023474178403756,"Plasma Donors"
"222",105,0.028169014084507,"Plasma Donors"
"223",112,0.00469483568075113,"Plasma Donors"
"224",119,0,"Plasma Donors"
"225",126,0,"Plasma Donors"
"226",133,0.00234741784037562,"Plasma Donors"
"227",140,0.0516431924882629,"Plasma Donors"
"228",147,0.0446009389671361,"Plasma Donors"
"229",154,0,"Plasma Donors"
"230",161,0.011737089201878,"Plasma Donors"
"231",168,0.0140845070422535,"Plasma Donors"
"232",175,0.0328638497652582,"Plasma Donors"
"233",182,0.0469483568075117,"Plasma Donors"
"234",189,0.0516431924882629,"Plasma Donors"
"235",196,0.00704225352112675,"Plasma Donors"
"236",203,0.00469483568075113,"Plasma Donors"
"237",210,0.0140845070422535,"Plasma Donors"
"238",217,0.0281690140845071,"Plasma Donors"
"239",224,0.00234741784037562,"Plasma Donors"
"240",231,0,"Plasma Donors"
"241",238,0,"Plasma Donors"
"242",245,0,"Plasma Donors"
"243",252,0.00234741784037551,"Plasma Donors"
"244",259,0.028169014084507,"Plasma Donors"
"245",266,0.00704225352112686,"Plasma Donors"
"246",273,0.0187793427230046,"Plasma Donors"
"247",280,0.023474178403756,"Plasma Donors"
"248",287,0.0187793427230046,"Plasma Donors"
"249",294,0.00469483568075113,"Plasma Donors"
"250",301,0.0164319248826291,"Plasma Donors"
"251",308,0.0258215962441315,"Plasma Donors"
"252",315,0.00234741784037551,"Plasma Donors"
"253",322,0,"Plasma Donors"
"254",329,0.00938967136150237,"Plasma Donors"
"255",336,0.0234741784037559,"Plasma Donors"
"256",343,0.0164319248826291,"Plasma Donors"
"257",350,0,"Plasma Donors"
"258",357,0,"Plasma Donors"
"259",364,0.00938967136150237,"Plasma Donors"
"260",371,0.00938967136150237,"Plasma Donors"
"261",378,0.0305164319248826,"Plasma Donors"
"262",385,0,"Plasma Donors"
"263",392,0.0140845070422535,"Plasma Donors"
"264",399,0.00234741784037562,"Plasma Donors"
"265",406,0.0140845070422535,"Plasma Donors"
"266",413,0.00234741784037551,"Plasma Donors"
"267",420,0.00704225352112675,"Plasma Donors"
"268",427,0.00938967136150237,"Plasma Donors"
"269",434,0,"Plasma Donors"
"270",441,0.0164319248826291,"Plasma Donors"
"271",448,0,"Plasma Donors"
"272",455,0,"Plasma Donors"
"273",462,0,"Plasma Donors"
"274",469,0.00704225352112675,"Plasma Donors"
"275",476,0.011737089201878,"Plasma Donors"
"276",483,0.0140845070422535,"Plasma Donors"
"277",490,0.0164319248826291,"Plasma Donors"
"278",497,0.0422535211267605,"Plasma Donors"
"279",504,0.00704225352112675,"Plasma Donors"
"280",511,0.00704225352112675,"Plasma Donors"
"281",518,0.00938967136150237,"Plasma Donors"
"282",525,0.00469483568075124,"Plasma Donors"
"283",532,0.0117370892018779,"Plasma Donors"
"284",539,0,"Plasma Donors"
"285",546,0.00469483568075113,"Plasma Donors"
"286",553,0.011737089201878,"Plasma Donors"
"287",560,0.0258215962441315,"Plasma Donors"
"288",567,0.00704225352112675,"Plasma Donors"
"289",574,0,"Plasma Donors"
"290",581,0,"Plasma Donors"
"291",588,0,"Plasma Donors"
"292",595,0,"Plasma Donors"
"293",602,0,"Plasma Donors"
"294",609,0,"Plasma Donors"
"295",616,0,"Plasma Donors"
"296",623,0.0164319248826291,"Plasma Donors"
"297",630,0.00234741784037551,"Plasma Donors"
"298",637,0.0140845070422535,"Plasma Donors"
"299",644,0,"Plasma Donors"
"300",651,0,"Plasma Donors"
"301",658,0,"Plasma Donors"
"302",665,0,"Plasma Donors"
"303",672,0,"Plasma Donors"
"304",679,0,"Plasma Donors"
"305",686,0.011737089201878,"Plasma Donors"
"306",693,0.00469483568075113,"Plasma Donors"
"307",700,0,"Plasma Donors"
"308",707,0,"Plasma Donors"
"309",714,0.00469483568075124,"Plasma Donors"
